2021-04-08 01:16:06.473 [http-nio-8081-exec-2] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 94371
2021-04-08 01:18:48.382 [http-nio-8081-exec-5] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 92935
2021-04-08 01:21:08.452 [http-nio-8081-exec-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 96256
2021-04-08 01:22:42.354 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.lxw.entity.RoleMenu".
2021-04-08 01:22:42.466 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.lxw.entity.UserRole".
2021-04-08 01:22:42.536 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.lxw.entity.VolunteerTask".
2021-04-08 01:24:00.025 [quartzScheduler_Worker-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 75224
2021-04-08 01:24:00.027 [quartzScheduler_Worker-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 78080
2021-04-08 01:24:00.027 [quartzScheduler_Worker-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 78086
2021-04-08 01:24:00.029 [quartzScheduler_Worker-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 78092
2021-04-08 01:24:00.029 [quartzScheduler_Worker-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 78097
2021-04-08 01:24:00.030 [quartzScheduler_Worker-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 78101
2021-04-08 01:24:00.031 [quartzScheduler_Worker-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 78108
2021-04-08 01:24:00.031 [quartzScheduler_Worker-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 78113
2021-04-08 01:24:00.032 [quartzScheduler_Worker-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 78119
2021-04-08 01:24:00.032 [quartzScheduler_Worker-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 78126
2021-04-08 01:25:20.107 [http-nio-8081-exec-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 80067
2021-04-08 01:28:10.625 [http-nio-8081-exec-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 70615
2021-04-08 11:55:10.107 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.lxw.entity.RoleMenu".
2021-04-08 11:55:10.223 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.lxw.entity.UserRole".
2021-04-08 11:55:10.270 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.lxw.entity.VolunteerTask".
2021-04-08 11:58:39.111 [http-nio-8081-exec-5] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 99026
2021-04-08 11:58:39.113 [http-nio-8081-exec-6] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 209474
2021-04-08 11:58:39.115 [http-nio-8081-exec-6] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 209563
2021-04-08 11:58:39.117 [http-nio-8081-exec-6] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 209565
2021-04-08 11:58:39.120 [http-nio-8081-exec-6] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 209568
2021-04-08 12:02:56.018 [http-nio-8081-exec-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 147880
2021-04-08 12:02:56.019 [http-nio-8081-exec-8] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 155018
2021-04-08 12:02:56.021 [http-nio-8081-exec-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 466468
2021-04-08 12:02:56.021 [http-nio-8081-exec-8] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 466469
2021-04-08 12:02:56.023 [http-nio-8081-exec-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 466487
2021-04-08 12:02:56.025 [http-nio-8081-exec-8] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/returnhome?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 466488
